SUBURB,POSTCODE,ComCat,Region
GLEBE,2037,GLEBE2037,SYD
GLEDSWOOD HILL,2557,GLEDSWOOD HILL2557,SYD
GLEDSWOOD HILLS,2557,GLEDSWOOD HILLS2557,SYD
GLEN ALPINE,2560,GLEN ALPINE2560,SYD
GLENDENNING,2761,GLENDENNING2761,SYD
GLENDENNING DC,2761,GLENDENNING DC2761,SYD
GLENFIELD,2167,GLENFIELD2167,SYD
GLENHAVEN,2156,GLENHAVEN2156,SYD
GLENMORE PARK,2745,GLENMORE PARK2745,SYD
GLENORIE,2157,GLENORIE2157,SYD
GLENQUARIE,2564,GLENQUARIE2564,SYD
GLENWOOD,2768,GLENWOOD2768,SYD
GOLDEN GROVE,2008,GOLDEN GROVE2008,SYD
GORDON,2072,GORDON2072,SYD
GORE HILL,2065,GORE HILL2065,SYD
GRANTHAM FARM,2765,GRANTHAM FARM2765,SYD
GRANVILLE,2142,GRANVILLE2142,SYD
GRAYS POINT,2232,GRAYS POINT2232,SYD
GREEN VALLEY,2168,GREEN VALLEY2168,SYD
GREENACRE,2190,GREENACRE2190,SYD
GREENFIELD PARK,2176,GREENFIELD PARK2176,SYD
GREENHILLS BEACH,2230,GREENHILLS BEACH2230,SYD
GREENWICH,2065,GREENWICH2065,SYD
GREGORY HILLS,2557,GREGORY HILLS2557,SYD
GREYSTANES,2145,GREYSTANES2145,SYD
GUILDFORD,2161,GUILDFORD2161,SYD
GUILDFORD WEST,2161,GUILDFORD WEST2161,SYD
GYMEA,2227,GYMEA2227,SYD
GYMEA BAY,2227,GYMEA BAY2227,SYD
HABERFIELD,2045,HABERFIELD2045,SYD
HAMMONDVILLE,2170,HAMMONDVILLE2170,SYD
HARBORD,2096,HARBORD2096,SYD
HARRINGTON PARK,2567,HARRINGTON PARK2567,SYD
HARRIS PARK,2150,HARRIS PARK2150,SYD
HASSALL GROVE,2761,HASSALL GROVE2761,SYD
HAYMARKET,2000,HAYMARKET2000,SYD
HEATHCOTE,2233,HEATHCOTE2233,SYD
HEBERSHAM,2770,HEBERSHAM2770,SYD
HECKENBERG,2168,HECKENBERG2168,SYD
HENLEY,2111,HENLEY2111,SYD
HILLSDALE,2036,HILLSDALE2036,SYD
HILLSIDE,2157,HILLSIDE2157,SYD
HINCHINBROOK,2168,HINCHINBROOK2168,SYD
HMAS KUTTABUL,2011,HMAS KUTTABUL2011,SYD
HMAS PENGUIN,2091,HMAS PENGUIN2091,SYD
HMAS PLATYPUS,2060,HMAS PLATYPUS2060,SYD
